date,gold_open,gold_high,gold_low,gold_close,gold_volume,silver_open,silver_high,silver_low,silver_close,silver_volume
8/30/2000,273.8999939,273.8999939,273.8999939,273.8999939,0,4.949999809,4.949999809,4.894999981,4.929999828,2319
8/31/2000,274.7999878,278.2999878,274.7999878,278.2999878,0,4.920000076,5.045000076,4.920000076,5.002999783,1612
9/1/2000,277,277,277,277,0,5.034999847,5.034999847,4.985000134,5.004000187,1375
9/5/2000,275.7999878,275.7999878,275.7999878,275.7999878,2,4.989999771,5.005000114,4.974999905,4.998000145,856
9/6/2000,274.2000122,274.2000122,274.2000122,274.2000122,0,5,5,4.980000019,4.982999802,232
9/7/2000,274,274,274,274,125,4.980000019,4.980000019,4.929999828,4.934999943,300
9/8/2000,273.2999878,273.2999878,273.2999878,273.2999878,0,4.940000057,4.945000172,4.909999847,4.922999859,120
9/11/2000,273.1000061,273.1000061,273.1000061,273.1000061,0,4.90500021,4.909999847,4.885000229,4.885000229,113
9/12/2000,272.8999939,272.8999939,272.8999939,272.8999939,0,4.934999943,4.940000057,4.900000095,4.90899992,211
9/13/2000,272.7999878,272.7999878,272.7999878,272.7999878,0,4.920000076,4.920000076,4.880000114,4.892000198,87
9/14/2000,272.3999939,272.3999939,272.3999939,272.3999939,0,4.894999981,4.909999847,4.880000114,4.888000011,103
9/15/2000,272.2999878,272.2999878,272.2999878,272.2999878,0,4.869999886,4.880000114,4.855000019,4.868000031,16
9/18/2000,271.3999939,271.3999939,271.3999939,271.3999939,0,4.875999928,4.875999928,4.875999928,4.875999928,15
9/19/2000,271.8999939,271.8999939,271.8999939,271.8999939,0,4.889999866,4.889999866,4.875,4.882999897,111
9/20/2000,269,269,269,269,0,4.860000134,4.864999771,4.829999924,4.829999924,13
9/21/2000,270.2999878,270.2999878,270.2999878,270.2999878,0,4.900000095,4.900000095,4.869999886,4.872000217,16
9/22/2000,271.7999878,271.7999878,271.7999878,271.7999878,0,4.900000095,4.909999847,4.900000095,4.909999847,29
9/25/2000,274.1000061,274.1000061,274.1000061,274.1000061,0,4.900000095,4.914999962,4.860000134,4.914999962,219
9/26/2000,273.8999939,273.8999939,273.8999939,273.8999939,0,4.929999828,4.931000233,4.929999828,4.931000233,0
9/27/2000,278.3999939,278.3999939,278.3999939,278.3999939,3511,4.909999847,4.967999935,4.909999847,4.967999935,0
9/28/2000,277.5,277.5,275.1000061,275.6000061,631,4.953000069,4.953000069,4.953000069,4.953000069,1
9/29/2000,274.6000061,274.6000061,272,273.6000061,22,4.869999886,4.899000168,4.869999886,4.899000168,0
10/2/2000,272.7999878,273.5,272.5,273.1000061,161,4.906000137,4.906000137,4.906000137,4.906000137,0
10/3/2000,272.1000061,272.7999878,271.5,271.6000061,25,4.913000107,4.913000107,4.913000107,4.913000107,4
10/4/2000,270.5,271,270.1000061,270.2999878,11,4.840000153,4.874000072,4.840000153,4.874000072,1
10/5/2000,270.2999878,270.6000061,270,270.6000061,6,4.888999939,4.888999939,4.888999939,4.888999939,1
10/6/2000,269.7999878,270.2000122,269.2999878,269.2999878,2,4.882999897,4.882999897,4.882999897,4.882999897,0
10/9/2000,269.1000061,270.1000061,269.1000061,270.1000061,4,4.885000229,4.885000229,4.885000229,4.885000229,0
10/10/2000,272.3999939,272.3999939,272.3999939,272.3999939,13,4.918000221,4.918000221,4.918000221,4.918000221,0
10/11/2000,272.5,273.5,270.5,270.5,18,4.869999886,4.869999886,4.869999886,4.869999886,0
10/12/2000,274,276.3999939,274,276.3999939,3,4.922999859,4.922999859,4.922999859,4.922999859,0
10/13/2000,274.2000122,274.2000122,272.3999939,272.3999939,0,4.882999897,4.882999897,4.882999897,4.882999897,0
10/16/2000,271.5,271.5,271.5,271.5,5,4.881000042,4.881000042,4.881000042,4.881000042,0
10/17/2000,271.1000061,271.1000061,271.1000061,271.1000061,0,4.842999935,4.842999935,4.842999935,4.842999935,0
10/18/2000,270.2999878,270.2999878,270.2999878,270.2999878,0,4.853000164,4.853000164,4.853000164,4.853000164,0
10/19/2000,270.1000061,270.1000061,270.1000061,270.1000061,1,4.828000069,4.828000069,4.828000069,4.828000069,0
10/20/2000,271.2000122,271.2000122,271.2000122,271.2000122,32,4.828000069,4.828000069,4.828000069,4.828000069,0
